id,platform,sender,subject,username,cleaned_body,sentiment,confidence,date,tag,was_truncated
ee46279f04be,email,=?UTF-8?B?R3Jvd3cgVHJhZGluZyBCdWxsZXRpbg==?= <noreply@groww.in>,"Nifty’s roller-coaster ride, PCR at 0.9 & more — Groww Trading Bulletin",,nan,positive,0.954,2025-08-28 12:57:32.050607,,False
805253b2f368,email,Samruddhi Gangurde <samruddhigangurde0708@gmail.com>,urgent help regarding fraud alert,,hello sir its very unprofessional from your side this project should have been taken care with more details and precautions very disappointed by your side,negative,1.0,2025-08-28 12:57:32.051052,,False
c0e84c17f6e9,email,Samruddhi Gangurde <samruddhigangurde0708@gmail.com>,product review,,the product was amazing and easy to use,positive,1.0,2025-08-28 12:57:32.051121,,False
430af78cec1a,email,Alison Learning <noreply@us-learning.alison.com>,"SOHAM, don't limit yourself!🥺 Update your Alison Profile now.",,soham don t limit yourself update your alison profile now use your alison profile to catch the attention of organisations view in web browser share on social hi soham we noticed that you created an alison profile but you haven t completed it why not take a few minutes now to finalise your profile you may be wondering how an alison profile can benefit you currently thousands of recruiters from around the world use alison to find potential job applicants by creating and updating an alison profile and setting it to public you enable these recruiters to approach you for roles that align with your skill set use your alison profile to unlock new career opportunities and increase your chances of securing your dream job because we know you re great but it s time to let recruiters know that too complete your profile connect with us on social media want fewer emails manage your email preferences mount carmel loughrea co galway h62 av62 ireland 2025 alison,positive,0.987,2025-08-28 12:57:32.051197,,False
9b5a9e5e51aa,email,Zingoy <noreply@zingoy.com>,Your Mobile Number Has Been Updated,,dear soham gangurde we wanted to let you know that your mobile number associated with your zingoy account has been successfully updated if you made this change no further action is required however if you did not request this update please contact our support team immediately to secure your account,negative,0.849,2025-08-28 12:57:32.051258,,False
eee115bc5ea8,email,Zingoy <noreply@zingoy.com>,This Welcome email will bring you good fortune ,,zingoy com welcome soham gangurde 2 simple ways to earn cashback in shopping earn additional cashback from zingoy for your shopping in favourite stores get upto 13 cashback get upto 7 rewards get upto 4 cashback get upto 6 cashback view all stores earn more by buying giftcards with cashbacks along with shopping cashback amazon gift card upto 0 6 cashback amazon shopping voucher gift card upto 0 5 cashback flipkart gift card upto 0 0 cashback makemytrip flights gift card upto 22 0 cashback view all gift cards never miss cashback with zinni you don t have to look for cashback cashback finds you follow us on download our app if you do not wish to further receive any mails please click here unsubscribe,positive,0.668,2025-08-28 12:57:32.051318,,False
0340c44c02e4,email,=?UTF-8?B?R3Jvd3cgRGlnZXN0?= <noreply@digest.groww.in>,"SEBI proposes new IPO rules, ITC profits up 3%, & more - Groww Digest",,nan,positive,0.954,2025-08-28 12:57:32.051372,,False
e1deba76e658,email,Alison Learning <noreply@us-learning.alison.com>,"📈Your Monthly Learner Report for July is here, SOHAM!",,your monthly learner report for july is here soham find out how you went with your learning goals in the last month view in web browser share on social soham here s a snapshot of your learning in july 1 minutes learning time 15 jul,negative,0.867,2025-08-28 12:57:32.051429,,False
8831465b23b8,email,notification@jio.com,Re-verification request successful for Jio Number 9321838057,,dear customer your request for re verification for jio number 9321838057 is successfully completed thank you team jio,positive,1.0,2025-08-28 12:57:32.051481,,False
045e2750b93f,email,LinkedIn <updates-noreply@linkedin.com>,Rohan Jadhav reacted to this post: ✨ Officially 3 weeks in at G2…,,rohan jadhav reacted to this srushti mhatre like appreciation 86 30 comments rohan jadhavcommented a post keep shining srushti like 1 1 reply read more cyber secured india shared a post exciting opportunity red team operator scholarship program by imperative business ventures limited and cyber secured india start date 5th like empathy interest 135 10 comments read more indrajit gaikwad shared a post many students are racing to fill their linkedin profiles with 4 college projects 2 internships 1 research paper yet they keep hearing we ll like praise empathy 281 18 comments read more fardeen khimani shared a post 35 swe internship candidates took the rounds so assessment in person in one room at once and everything broke it taught me why cursor at like praise empathy 176 13 comments read more see more on linkedin,negative,0.945,2025-08-28 12:57:32.051538,,False
e9edc08febd9,email,Job Opening | Cuvette <team@cuvette.tech>,Razorpay | Honeywell | UiPath Jobs Important Update,,razorpay honeywell uipath jobs important update dear student we have carefully created a list of companies that are actively hiring for freshers in off campus mode these opportunities are from the official career pages of companies like optum uipath accenture etc from 4 15 lpa razorpay product development engineer i bangalore application web development jobs apply links join our fullstack development with genai placement guarantee deadline 11 pm today,negative,0.936,2025-08-28 12:57:32.051591,,False
a9acd403eebf,email,Myprotein <info@n.myprotein.com>,FREE Protein with ANY Vitamins ,,myprotein home our range your goals clothing empowering over 20 million customers worldwide free protein 25 45 off everything popular categories protein clear whey,positive,0.992,2025-08-28 12:57:32.051642,,False
5045186ba138,email,notification@jio.com,Re-verification required for Jio Number 9321838057,,dear customer your jio numbers 9321838057 require re verification as per government guidelines please open myjio app on your phone and complete the re verification process immediately to prevent stoppage of services click to know the process of re verification or call on 183 for any help to complete the re verification of your jio number watch the step by step video at the link below thank you team jio,negative,0.969,2025-08-28 12:57:32.051693,,False
ca791684a524,email,"""TVS Credit E.P.I.C"" <noreply@dare2compete.news>",[2 days left] Hiring opportunity by TVS Credit- Register now!,,interview offers inr 10 lakhs cash prize last 3 days tvs credit e p i c deadline approaching hi soham only 3 days left before the deadline for tvs credit e p i c approaches it trackanalytics track why participate cash prizes worth upto 10 lakhs chance to earn ppis for summer internship mt programme participation certificates eligibility m e m tech students b tech b e students 2026 2027 the above tracks are specially designed for engineering students this is your chance to outshine start your dream career with india s top brand tvs credit,negative,0.946,2025-08-28 12:57:32.051746,,False
5cebc7f0e107,email,YONO SBI <yonosbi@alerts.sbi.co.in>,Cash Withdrawals and Fund Transfers made Quicker and Safer,,this is a system generated mail so please do not reply to this mail click here to unsubscribe disclaimer state bank never sends e mails and embedded links asking you to update or verify confidential personal and security details if you receive such emails phone calls sms never respond to them and report such matter to the bank at report phishing sbi co in,negative,0.998,2025-08-28 12:57:32.051796,,False
8e2f6c407eee,email,"""Amazon.in"" <order-update@amazon.in>",Delivered: Your Amazon package has been delivered.,,nan,positive,0.954,2025-08-28 12:57:32.051845,,False
bdb6ff738ce9,email,YONO SBI <YONOSBI@communications.sbi.co.in>,Payments made fast and super easy,,no text part,negative,0.999,2025-08-28 12:57:32.051894,,False
51d30c54fc27,email,Akhil Masurkar <akhil.masurkar@vit.edu.in>,"Certificates: IIRS-ISRO Course on - Remote Sensing Data Analytics for
 Crop Production Forecasting",,dear all congratulations on completing 168 remote sensing data analytics for crop production forecasting please find attached your certificates,positive,0.996,2025-08-28 12:57:32.051944,,False
796dcdad53a9,email,=?UTF-8?B?SW5zdGFtYXJ0?= <no-reply@swiggy.in>,"How else will we know, Soham? 🥺",,nan,positive,0.954,2025-08-28 12:57:32.051997,,False
b631f28d5f37,email,Job Guarantee Course | Cuvette Tech <team@cuvette.tech>,Data Analysis Placement Guarantee Program: Important Update,,data analysis placement guarantee program important update dear soham hope you are doing well do you want to start your career in data analysis if yes then you are at the right place our team of iit kharagpur alumni mentors from top tech companies have prepared this placement guarantee course program in data analysis key highlights 4 months course with 150 hrs of learning content daily live doubt solving classes interview preparation resume building from mentors guaranteed placement in 7500 partner companies to apply for the course program take the entrance test deadline 5 pm today course fee rs 28 000 our team will contact you based on your performance in the above entrance test please reply to this email if you have any queries,positive,0.836,2025-08-28 12:57:32.052049,,False
2968cfdb68b2,email,Alison Learning <noreply@us-teaching.alison.com>,"SOHAM, why learn alone when your entire team can learn together? 💯",,soham why learn alone when your entire team can learn together introducing alison s free lms view in web browser share on social hi soham did you know that alison offers a free learning management system free lms designed to help teams upskill together our free lms has multiple benefits and your organisation being able to pay for your certificates to keep you motivated is just one of them whether you re a manager hr professional or an individual team member recommending alison s free lms can transform how your team learns and grows take a step towards empowering your team you ll empower yourself too check out alison s free lms connect with us on social media want fewer emails manage your email preferences mount carmel loughrea co galway h62 av62 ireland 2025 alison,positive,0.841,2025-08-28 12:57:32.052105,,False
e720040958b7,email,"""Amazon.in"" <shipment-tracking@amazon.in>",Your Amazon.in order #405-3354678-6645140,,amazon in,negative,0.614,2025-08-28 12:57:32.052153,,False
fab6bd050d9c,email,=?iso-8859-1?q?BEWAKOOF=AE?= <fashion@offers.bewakoof.com>,Payday's here & so are deals & 50-80% ,,mad in india sale is live you can reach us at care bewakoof com with all queries if you wish to unsubscribe please click here,negative,0.681,2025-08-28 12:57:32.052202,,False
860400f8ef35,email,Prime Video <no-reply@primevideo.com>,"Join Prime Lite to watch: 'Housefull 5', starring Akshay Kumar and
 Abhishek Bachchan.",,text,positive,0.994,2025-08-28 12:57:32.052250,,False
2ee499294212,email,"""=?utf-8?q?Pinterest?="" <pinterest-recommendations@ideas.pinterest.com>","Soham, feels like your style",,to view this content open the following url in your browser pinterest 651 brannan street san francisco ca 94107 help centre privacy policy terms conditions unsubscribe,negative,0.991,2025-08-28 12:57:32.052298,,False
8f4c6158cc09,email,<nse_alerts@nse.co.in>,Funds/Securities Balance,,nan,positive,0.954,2025-08-28 12:57:32.052345,,False
c06dd5c0e4f8,email,=?UTF-8?B?U3dpZ2d5?= <no-reply@swiggy.in>,Open only if you’re ready to… 👀,,email template,negative,0.948,2025-08-28 12:57:32.052394,,False
