id,author_id,username,created_at,text,clean_text,edit_history_tweet_ids,cleaned_tweet,sentiment
1955305012269097022,1630729660882644992,SOHAMGANGURDE3,2025-08-12T16:26:57.000Z,@sohamget22 need to fix the bug in system otherwise its good !,need to fix the bug in system otherwise its good !,['1955305012269097022'],need to fix the bug in system otherwise its good !,Positive
1955304826679537996,1630729660882644992,SOHAMGANGURDE3,2025-08-12T16:26:13.000Z,@sohamget22 Really helped my team track customer moods! the service is quite good and product quality is also excellent .,Really helped my team track customer moods! the service is quite good and product quality is also excellent .,['1955304826679537996'],Really helped my team track customer moods! the service is quite good and product quality is also excellent .,Positive
1955304303213617413,1955297149681369088,sohamget22,2025-08-12T16:24:08.000Z,https://t.co/jmVDxurOwc,,['1955304303213617413'],nan,Neutral
1955303531553988981,1955297149681369088,sohamget22,2025-08-12T16:21:04.000Z,https://t.co/DdnJZOlygm,,['1955303531553988981'],nan,Neutral
1955301000000000001,1630729660000000001,useralpha,2025-08-12T10:15:23.000Z,@brandX Loving the new update! It’s so smooth and fast.,Loving the new update! It’s so smooth and fast.,['1955301000000000001'],Loving the new update! It’s so smooth and fast.,Positive
1955301000000000002,1630729660000000002,userbravo,2025-08-12T10:16:45.000Z,@brandX Please fix the crashing issue on Android.,Please fix the crashing issue on Android.,['1955301000000000002'],Please fix the crashing issue on Android.,Neutral
1955301000000000003,1630729660000000003,usercharlie,2025-08-12T10:17:52.000Z,@brandX Thanks for the quick customer support last night!,Thanks for the quick customer support last night!,['1955301000000000003'],Thanks for the quick customer support last night!,Positive
1955301000000000004,1630729660000000004,userdelta,2025-08-12T10:18:33.000Z,@brandX The product quality is great but shipping was slow.,The product quality is great but shipping was slow.,['1955301000000000004'],The product quality is great but shipping was slow.,Positive
1955301000000000005,1630729660000000005,userecho,2025-08-12T10:19:48.000Z,@brandX I just recommended this to my friends!,I just recommended this to my friends!,['1955301000000000005'],I just recommended this to my friends!,Neutral
1955301000000000006,1630729660000000006,userfoxtrot,2025-08-12T10:20:10.000Z,@brandX Still waiting for the refund update.,Still waiting for the refund update.,['1955301000000000006'],Still waiting for the refund update.,Neutral
1955301000000000007,1630729660000000007,usergolf,2025-08-12T10:21:14.000Z,@brandX Absolutely amazing service experience!,Absolutely amazing service experience!,['1955301000000000007'],Absolutely amazing service experience!,Positive
1955301000000000008,1630729660000000008,userhotel,2025-08-12T10:22:05.000Z,@brandX The website UI could use some improvement.,The website UI could use some improvement.,['1955301000000000008'],The website UI could use some improvement.,Neutral
1955301000000000009,1630729660000000009,userindia,2025-08-12T10:23:29.000Z,@brandX Loving the personalization features!,Loving the personalization features!,['1955301000000000009'],Loving the personalization features!,Positive
1955301000000000010,1630729660000000010,userjuliet,2025-08-12T10:24:47.000Z,@brandX Can't log in after the new update.,Can't log in after the new update.,['1955301000000000010'],Can't log in after the new update.,Positive
1955301000000000011,1630729660000000011,userkilo,2025-08-12T10:25:51.000Z,@brandX Appreciate the constant product improvements.,Appreciate the constant product improvements.,['1955301000000000011'],Appreciate the constant product improvements.,Neutral
1955301000000000012,1630729660000000012,userlima,2025-08-12T10:27:33.000Z,@brandX Please add dark mode to the web app.,Please add dark mode to the web app.,['1955301000000000012'],Please add dark mode to the web app.,Negative
1955301000000000013,1630729660000000013,usermike,2025-08-12T10:28:55.000Z,@brandX I had a fantastic onboarding experience.,I had a fantastic onboarding experience.,['1955301000000000013'],I had a fantastic onboarding experience.,Positive
