text,created_at,id,author_id,edit_history_tweet_ids,username
@sohamget22 need to fix the bug in system otherwise its good !,2025-08-12T16:26:57.000Z,1955305012269097022,1630729660882644992,['1955305012269097022'],SOHAMGANGURDE3
@sohamget22 Really helped my team track customer moods! the service is quite good and product quality is also excellent .,2025-08-12T16:26:13.000Z,1955304826679537996,1630729660882644992,['1955304826679537996'],SOHAMGANGURDE3
https://t.co/jmVDxurOwc,2025-08-12T16:24:08.000Z,1955304303213617413,1955297149681369088,['1955304303213617413'],sohamget22
https://t.co/DdnJZOlygm,2025-08-12T16:21:04.000Z,1955303531553988981,1955297149681369088,['1955303531553988981'],sohamget22
@brandX Loving the new update! It’s so smooth and fast.,2025-08-12T10:15:23.000Z,1955301000000000001,1630729660000000001,['1955301000000000001'],useralpha
@brandX Please fix the crashing issue on Android.,2025-08-12T10:16:45.000Z,1955301000000000002,1630729660000000002,['1955301000000000002'],userbravo
@brandX Thanks for the quick customer support last night!,2025-08-12T10:17:52.000Z,1955301000000000003,1630729660000000003,['1955301000000000003'],usercharlie
@brandX The product quality is great but shipping was slow.,2025-08-12T10:18:33.000Z,1955301000000000004,1630729660000000004,['1955301000000000004'],userdelta
@brandX I just recommended this to my friends!,2025-08-12T10:19:48.000Z,1955301000000000005,1630729660000000005,['1955301000000000005'],userecho
@brandX Still waiting for the refund update.,2025-08-12T10:20:10.000Z,1955301000000000006,1630729660000000006,['1955301000000000006'],userfoxtrot
@brandX Absolutely amazing service experience!,2025-08-12T10:21:14.000Z,1955301000000000007,1630729660000000007,['1955301000000000007'],usergolf
@brandX The website UI could use some improvement.,2025-08-12T10:22:05.000Z,1955301000000000008,1630729660000000008,['1955301000000000008'],userhotel
@brandX Loving the personalization features!,2025-08-12T10:23:29.000Z,1955301000000000009,1630729660000000009,['1955301000000000009'],userindia
@brandX Can't log in after the new update.,2025-08-12T10:24:47.000Z,1955301000000000010,1630729660000000010,['1955301000000000010'],userjuliet
@brandX Appreciate the constant product improvements.,2025-08-12T10:25:51.000Z,1955301000000000011,1630729660000000011,['1955301000000000011'],userkilo
@brandX Please add dark mode to the web app.,2025-08-12T10:27:33.000Z,1955301000000000012,1630729660000000012,['1955301000000000012'],userlima
